"sep=,"
Shimmer_69B4_TimestampSync_Unix_CAL,Shimmer_69B4_ECG_LA-RA_24BIT_CAL,Shimmer_69B4_ECGtoHR_LA_RA_CAL,
ms,mV,BPM,
1.6861877737165906E12,-605.0000721216288,-1.0,
1.6861877737185432E12,-605.0000721216288,-1.0,
1.6861877737204958E12,-605.0000721216288,-1.0,
1.6861877737224485E12,-605.0000721216288,-1.0,
1.6861877737244011E12,-605.0000721216288,-1.0,
1.6861877737263535E12,-605.0000721216288,-1.0,
1.6861877737283062E12,-605.0000721216288,-1.0,
1.6861877737302588E12,-605.0000721216288,-1.0,
1.6861877737322114E12,-605.0000721216288,-1.0,
1.686187773734164E12,-605.0000721216288,-1.0,
1.6861877737361165E12,-605.0000721216288,-1.0,
1.686187773738069E12,-605.0000721216288,-1.0,
1.6861877737400217E12,-605.0000721216288,-1.0,
1.6861877737419744E12,-605.0000721216288,-1.0,
1.686187773743927E12,-605.0000721216288,-1.0,
1.6861877737458794E12,-605.0000721216288,-1.0,
1.686187773747832E12,-605.0000721216288,-1.0,
1.6861877737497847E12,-605.0000721216288,-1.0,
1.6861877737517373E12,-605.0000721216288,-1.0,
1.68618777375369E12,-605.0000721216288,-1.0,
1.6861877737556423E12,-605.0000721216288,-1.0,
1.686187773757595E12,-605.0000721216288,-1.0,
1.6861877737595476E12,-605.0000721216288,-1.0,
1.6861877737615002E12,-605.0000721216288,-1.0,
1.686187773763453E12,-605.0000721216288,-1.0,
1.6861877737654053E12,-605.0000721216288,-1.0,
1.686187773767358E12,-605.0000721216288,-1.0,
1.6861877737693105E12,-605.0000721216288,-1.0,
1.6861877737712632E12,-605.0000721216288,-1.0,
1.6861877737732158E12,-605.0000721216288,-1.0,
1.6861877737751682E12,-605.0000721216288,-1.0,
1.6861877737771208E12,-605.0000721216288,-1.0,
1.6861877737790735E12,-605.0000721216288,-1.0,
1.6861877737810261E12,-605.0000721216288,-1.0,
1.6861877737829788E12,-605.0000721216288,-1.0,
1.6861877737849312E12,-605.0000721216288,-1.0,
1.6861877737868838E12,-605.0000721216288,-1.0,
1.6861877737888364E12,-605.0000721216288,-1.0,
1.686187773790789E12,-605.0000721216288,-1.0,
1.6861877737927417E12,-605.0000721216288,-1.0,
1.686187773794694E12,-605.0000721216288,-1.0,
1.6861877737966467E12,-605.0000721216288,-1.0,
1.6861877737985994E12,-605.0000721216288,-1.0,
1.686187773800552E12,-605.0000721216288,-1.0,
1.6861877738025046E12,-605.0000721216288,-1.0,
1.686187773804457E12,-605.0000721216288,-1.0,
1.6861877738064097E12,-605.0000721216288,-1.0,
1.6861877738083623E12,-605.0000721216288,-1.0,
1.686187773810315E12,-605.0000721216288,-1.0,
1.6861877738122676E12,-605.0000721216288,-1.0,
1.68618777381422E12,-605.0000721216288,-1.0,
1.6861877738161726E12,-605.0000721216288,-1.0,
1.6861877738181252E12,-605.0000721216288,-1.0,
1.686187773820078E12,-605.0000721216288,-1.0,
1.6861877738220305E12,-605.0000721216288,-1.0,
1.686187773823983E12,-605.0000721216288,-1.0,
1.6861877738259355E12,-605.0000721216288,-1.0,
1.6861877738278882E12,-605.0000721216288,-1.0,
1.6861877738298408E12,-605.0000721216288,-1.0,
1.6861877738317935E12,-605.0000721216288,-1.0,
1.6861877738337458E12,-605.0000721216288,-1.0,
1.6861877738356985E12,-605.0000721216288,-1.0,
1.6861877738376511E12,-605.0000721216288,-1.0,
1.6861877738396038E12,-605.0000721216288,-1.0,
1.6861877738415564E12,-605.0000721216288,-1.0,
1.6861877738435088E12,-605.0000721216288,-1.0,
1.6861877738454614E12,-605.0000721216288,-1.0,
1.686187773847414E12,-605.0000721216288,-1.0,
1.6861877738493667E12,-605.0000721216288,-1.0,
1.6861877738513193E12,-605.0000721216288,-1.0,
1.6861877738532717E12,-605.0000721216288,-1.0,
1.6861877738552244E12,-605.0000721216288,-1.0,
1.686187773857177E12,-605.0000721216288,-1.0,
1.6861877738591296E12,-605.0000721216288,-1.0,
1.6861877738610823E12,-605.0000721216288,-1.0,
1.6861877738630347E12,-605.0000721216288,-1.0,
1.6861877738649873E12,-605.0000721216288,-1.0,
1.68618777386694E12,-605.0000721216288,-1.0,
1.6861877738688926E12,-605.0000721216288,-1.0,
1.6861877738708452E12,-605.0000721216288,-1.0,
